date,product,category,quantity,price,revenue,region
2024-01-05,Laptop Pro,Electronics,10,85000,850000,North
2024-01-07,Office Chair,Furniture,25,12000,300000,South
2024-01-10,Laptop Pro,Electronics,8,85000,680000,East
2024-01-12,Wireless Mouse,Electronics,100,1500,150000,North
2024-01-15,Standing Desk,Furniture,15,25000,375000,West
2024-01-18,Laptop Pro,Electronics,12,85000,1020000,South
2024-01-20,Keyboard,Electronics,80,3000,240000,East
2024-02-01,Monitor 4K,Electronics,20,35000,700000,North
2024-02-05,Office Chair,Furniture,30,12000,360000,West
2024-02-08,Laptop Pro,Electronics,6,85000,510000,North
2024-02-10,Headphones,Electronics,50,5000,250000,South
2024-02-14,Standing Desk,Furniture,10,25000,250000,East
2024-02-18,Wireless Mouse,Electronics,120,1500,180000,West
2024-02-20,Monitor 4K,Electronics,15,35000,525000,South
2024-03-01,Laptop Pro,Electronics,20,85000,1700000,North
2024-03-05,Keyboard,Electronics,60,3000,180000,West
2024-03-08,Office Chair,Furniture,40,12000,480000,North
2024-03-10,Headphones,Electronics,75,5000,375000,East
2024-03-15,Monitor 4K,Electronics,25,35000,875000,South
2024-03-18,Standing Desk,Furniture,20,25000,500000,West
2024-03-20,Wireless Mouse,Electronics,200,1500,300000,North
2024-03-25,Laptop Pro,Electronics,15,85000,1275000,East
